NASA Rotor 37 Axial-Flow Compressor Rotor - 70% span solution, M=1.47 
                     
            Surface Coordinates and Aerodynamic Data (Lower Surface)
      x                  y               p              M              Cp
 2.932791710E-01 3.461969644E-02 6.082305859E+04 1.494537592E+00 -1.069826484E-01
 3.201934099E-01 3.704715520E-02 6.041050391E+04 1.500002265E+00 -1.109315082E-01
 3.483400047E-01 3.955037519E-02 6.044283203E+04 1.499860287E+00 -1.106220707E-01
 3.775693178E-01 4.214046523E-02 6.020304688E+04 1.503653407E+00 -1.129172295E-01
 4.077143669E-01 4.469754174E-02 5.934575781E+04 1.515045047E+00 -1.211229712E-01
 4.385850728E-01 4.704489559E-02 5.868973828E+04 1.522046924E+00 -1.274022162E-01
 4.699384570E-01 4.942255095E-02 5.854263281E+04 1.523071289E+00 -1.288102567E-01
 5.015364289E-01 5.181932822E-02 5.791996094E+04 1.532940507E+00 -1.347703040E-01
 5.331479907E-01 5.405146256E-02 5.630166797E+04 1.554929018E+00 -1.502601653E-01
 5.645402670E-01 5.582375452E-02 5.397203516E+04 1.585432410E+00 -1.725587845E-01
 5.954772830E-01 5.706437305E-02 5.094772266E+04 1.624115705E+00 -2.015066743E-01
 6.257272363E-01 5.753026530E-02 4.688205078E+04 1.668578506E+00 -2.404221892E-01
 6.550697684E-01 5.731640756E-02 4.451775781E+04 1.693770409E+00 -2.630525529E-01
 6.833172441E-01 5.648789927E-02 4.869646875E+04 1.572525740E+00 -2.230550647E-01
 7.103112936E-01 5.520119891E-02 7.469660156E+04 1.205007792E+00 2.581113763E-02
 7.359167933E-01 5.336402729E-02 1.178781641E+05 8.520062566E-01 4.391333163E-01
 7.600403428E-01 5.103828758E-02 1.460608281E+05 6.581552625E-01 7.088901401E-01
 7.826250792E-01 4.835324734E-02 1.541632969E+05 5.798341036E-01 7.864447832E-01
 8.036576509E-01 4.550869763E-02 1.562898125E+05 5.462280512E-01 8.067991734E-01
 8.231554627E-01 4.267140850E-02 1.577320156E+05 5.255029798E-01 8.206035495E-01
 8.411349654E-01 3.982833028E-02 1.590576719E+05 5.077931285E-01 8.332923651E-01
 8.576288819E-01 3.695838898E-02 1.604929688E+05 4.911170304E-01 8.470306396E-01
 8.726948500E-01 3.410073742E-02 1.620417969E+05 4.751348495E-01 8.618556261E-01
 8.864079118E-01 3.131535277E-02 1.635495938E+05 4.600259066E-01 8.762878180E-01
 8.988499641E-01 2.864713781E-02 1.649309688E+05 4.459022880E-01 8.895099759E-01
 9.101054668E-01 2.612088062E-02 1.661825781E+05 4.327468574E-01 9.014900327E-01
 9.202603102E-01 2.375063114E-02 1.673258125E+05 4.205500782E-01 9.124327898E-01
 9.293994904E-01 2.154300176E-02 1.683780000E+05 4.092091322E-01 9.225040078E-01
 9.376069903E-01 1.950035430E-02 1.693501562E+05 3.986124992E-01 9.318092465E-01
 9.449632168E-01 1.762086712E-02 1.702464375E+05 3.886873126E-01 9.403882027E-01
 9.515448809E-01 1.589981280E-02 1.710701875E+05 3.793879151E-01 9.482729435E-01
 9.574244618E-01 1.433038618E-02 1.718293906E+05 3.706744313E-01 9.555398226E-01
 9.626695514E-01 1.290504448E-02 1.725278281E+05 3.624936938E-01 9.622250795E-01
 9.673429728E-01 1.161490288E-02 1.731724375E+05 3.548089862E-01 9.683951139E-01
 9.715027213E-01 1.045138109E-02 1.737688594E+05 3.475947082E-01 9.741038680E-01
 9.752018452E-01 9.405091405E-03 1.743164688E+05 3.408197165E-01 9.793454409E-01
 9.784883857E-01 8.466593921E-03 1.748210938E+05 3.344643712E-01 9.841755629E-01
 9.814063907E-01 7.626682520E-03 1.752819531E+05 3.285175264E-01 9.885867834E-01
 9.839952588E-01 6.875988096E-03 1.757088750E+05 3.229500949E-01 9.926731586E-01
 9.862909913E-01 6.206887774E-03 1.760990312E+05 3.177904487E-01 9.964076281E-01
 9.883255959E-01 5.610840395E-03 1.764500156E+05 3.130605519E-01 9.997671843E-01
 9.901279807E-01 5.080632400E-03 1.767658750E+05 3.087660074E-01 1.002790451E+00
 9.917238951E-01 4.609412979E-03 1.770441719E+05 3.050012887E-01 1.005454302E+00
 9.931367040E-01 4.191426560E-03 1.772710625E+05 3.019145131E-01 1.007626057E+00
 9.943867326E-01 3.820301499E-03 1.774331406E+05 2.997001410E-01 1.009177327E+00
 9.954925776E-01 3.491388867E-03 1.775243438E+05 2.987842560E-01 1.010050297E+00
 9.964706302E-01 3.200379433E-03 1.774904844E+05 2.997338772E-01 1.009726286E+00
 9.973349571E-01 2.941099461E-03 1.773388906E+05 3.034540713E-01 1.008275270E+00
 9.980968833E-01 2.703352366E-03 1.761589531E+05 3.031019568E-01 9.969812036E-01
 9.987251163E-01 2.381149447E-03 1.756186875E+05 2.807584405E-01 9.918099046E-01
 9.991999865E-01 1.978087239E-03 1.777915000E+05 2.334510684E-01 1.012607455E+00
 9.995386600E-01 1.544164843E-03 1.809790938E+05 1.764303148E-01 1.043118238E+00
 9.997656345E-01 1.114079379E-03 1.836723594E+05 1.198903695E-01 1.068897486E+00
 9.999040365E-01 7.072272711E-04 1.854439062E+05 6.881617010E-02 1.085854292E+00
 9.999765754E-01 3.345766163E-04 1.856062031E+05 2.785652131E-02 1.087407708E+00
 1.000000000E+00 0.000000000E00  1.872853906E+05 1.678559743E-02 1.103480458E+00


